t,x,y,z,dxdt,dydt,dzdt,speed
8.055,-5.964281372,-4.613285526,26.0032833,13.50995847,-7.295694691,-41.82715587,44.55622411
8.056,-5.950875454,-4.620688573,25.96150281,13.3018688,-7.510154333,-41.73353195,44.44130759
8.057,-5.937677654,-4.628305347,25.91981683,13.09372306,-7.723151774,-41.63812631,44.32636033
8.058,-5.924688021,-4.636134396,25.87822714,12.88553625,-7.934707833,-41.54095579,44.21139719
8.059,-5.91190659,-4.644174289,25.8367355,12.67732301,-8.144843354,-41.44203675,44.09643299
8.06,-5.899333379,-4.652423616,25.79534365,12.46909763,-8.353579196,-41.34138513,43.98148253
8.061,-5.886968394,-4.660880988,25.7540533,12.26087406,-8.560936227,-41.23901641,43.86656057
8.062,-5.874811626,-4.669545036,25.71286618,12.0526659,-8.76693531,-41.13494569,43.75168187
8.063,-5.862863053,-4.678414413,25.67178397,11.8444864,-8.971597299,-41.02918759,43.63686115
8.064,-5.851122639,-4.687487792,25.63080836,11.63634847,-9.174943025,-40.92175636,43.52211311
8.065,-5.839590338,-4.696763867,25.58994102,11.4282647,-9.376993293,-40.81266581,43.40745245
8.066,-5.828266088,-4.706241354,25.54918358,11.22024734,-9.577768868,-40.70192933,43.29289386
8.067,-5.817149817,-4.715918987,25.5085377,11.0123083,-9.77729047,-40.58955993,43.17845201
8.068,-5.806241441,-4.725795524,25.468005,10.80445918,-9.975578766,-40.47557019,43.06414161
8.069,-5.795540865,-4.73586974,25.4275871,10.59671124,-10.17265436,-40.35997231,42.94997731
8.07,-5.785047981,-4.746140435,25.38728559,10.38907546,-10.36853779,-40.2427781,42.83597383
8.071,-5.774762673,-4.756606425,25.34710207,10.18156248,-10.56324952,-40.12399895,42.72214586
8.072,-5.764684812,-4.76726655,25.30703812,9.974182617,-10.75680992,-40.0036459,42.60850812
8.073,-5.75481426,-4.778119668,25.2670953,9.766945918,-10.94923928,-39.88172959,42.49507535
8.074,-5.745150869,-4.789164658,25.22727517,9.559862106,-11.14055779,-39.7582603,42.38186231
8.075,-5.735694482,-4.80040042,25.18757929,9.352940615,-11.33078552,-39.63324791,42.26888381
8.076,-5.726444931,-4.811825873,25.14800919,9.146190582,-11.51994245,-39.50670196,42.15615467
8.077,-5.71740204,-4.823439955,25.1085664,8.939620856,-11.70804843,-39.37863162,42.04368974
8.078,-5.708565626,-4.835241626,25.06925243,8.733240004,-11.8951232,-39.24904568,41.93150395
8.079,-5.699935495,-4.847229864,25.03006881,8.527056307,-12.08118636,-39.1179526,41.81961225
8.08,-5.691511445,-4.859403668,24.99101703,8.321077774,-12.26625737,-38.98536048,41.70802964
8.081,-5.683293268,-4.871762054,24.95209858,8.115312137,-12.45035555,-38.85127707,41.5967712
8.082,-5.675280747,-4.884304061,24.91331497,7.909766864,-12.63350008,-38.71570978,41.48585204
8.083,-5.667473659,-4.897028743,24.87466766,7.704449155,-12.81570999,-38.57866568,41.37528737
8.084,-5.659871771,-4.909935176,24.83615812,7.499365952,-12.99700414,-38.4401515,41.26509244
8.085,-5.652474846,-4.923022452,24.79778784,7.294523939,-13.17740123,-38.30017366,41.15528259
8.086,-5.64528264,-4.936289685,24.75955826,7.089929551,-13.3569198,-38.15873824,41.04587325
8.087,-5.638294902,-4.949736005,24.72147085,6.885588974,-13.5355782,-38.01585098,40.93687993
8.088,-5.631511376,-4.963360561,24.68352704,6.681508149,-13.71339462,-37.87151732,40.8283182
8.089,-5.624931798,-4.97716252,24.64572829,6.47769278,-13.89038706,-37.7257424,40.72020378
8.09,-5.6185559,-4.991141066,24.60807604,6.274148336,-14.06657332,-37.57853101,40.61255244
8.091,-5.612383409,-5.005295404,24.57057171,6.070880055,-14.24197104,-37.42988768,40.50538008
8.092,-5.606414046,-5.019624751,24.53321674,5.867892947,-14.41659762,-37.27981659,40.3987027
8.093,-5.600647528,-5.034128347,24.49601255,5.665191803,-14.5904703,-37.12832165,40.29253641
8.094,-5.595083566,-5.048805446,24.45896057,5.462781193,-14.76360608,-36.97540647,40.18689745
8.095,-5.589721867,-5.06365532,24.42206221,5.260665475,-14.93602178,-36.82107436,40.08180217
8.096,-5.584562135,-5.078677255,24.38531889,5.058848796,-15.107734,-36.66532835,39.97726704
8.097,-5.579604068,-5.093870559,24.34873202,4.857335099,-15.2787591,-36.50817117,39.87330869
8.098,-5.574847363,-5.10923455,24.31230302,4.656128126,-15.44911324,-36.34960529,39.76994385
8.099,-5.570291709,-5.124768567,24.27603328,4.455231421,-15.61881237,-36.1896329,39.66718941
8.1,-5.565936795,-5.140471962,24.23992422,4.254648336,-15.78787217,-36.02825589,39.5650624
8.101,-5.561782307,-5.156344103,24.20397724,4.054382034,-15.95630813,-35.8654759,39.46357998
8.102,-5.557827925,-5.172384375,24.16819374,3.854435495,-16.12413548,-35.70129431,39.36275948
8.103,-5.554073328,-5.188592176,24.13257512,3.654811518,-16.29136922,-35.53571223,39.26261838
8.104,-5.550518193,-5.20496692,24.09712278,3.455512726,-16.45802411,-35.36873049,39.16317431
8.105,-5.547162193,-5.221508036,24.06183812,3.256541571,-16.62411465,-35.20034969,39.06444507
8.106,-5.544005,-5.238214966,24.02672254,3.057900336,-16.78965511,-35.03057015,38.96644863
8.107,-5.541046282,-5.255087168,23.99177745,2.859591142,-16.95465951,-34.85939198,38.8692031
8.108,-5.538285706,-5.272124111,23.95700423,2.66161595,-17.11914159,-34.686815,38.77272679
8.109,-5.535722938,-5.289325281,23.92240428,2.463976568,-17.28311486,-34.5128388,38.67703817
8.11,-5.533357641,-5.306690176,23.88797902,2.266674649,-17.44659255,-34.33746275,38.58215589
8.111,-5.531189476,-5.324218306,23.85372983,2.069711702,-17.60958765,-34.16068594,38.48809878
8.112,-5.529218104,-5.341909195,23.81965811,1.873089094,-17.77211285,-33.98250727,38.39488584
8.113,-5.527443184,-5.359762379,23.78576528,1.67680805,-17.93418061,-33.80292538,38.30253626
8.114,-5.525864374,-5.377777407,23.75205273,1.480869663,-18.09580308,-33.62193869,38.21106941
8.115,-5.52448133,-5.395953841,23.71852187,1.285274894,-18.25699215,-33.4395454,38.12050486
8.116,-5.523293709,-5.414291251,23.68517411,1.090024579,-18.41775945,-33.25574348,38.03086235
8.117,-5.522301166,-5.432789223,23.65201085,0.8951194309,-18.57811631,-33.07053068,37.94216183
8.118,-5.521503355,-5.451447351,23.61903352,0.7005600431,-18.73807378,-32.88390455,37.85442341
8.119,-5.52089993,-5.470265241,23.58624352,0.5063468957,-18.89764262,-32.69586239,37.76766741
8.12,-5.520490546,-5.48924251,23.55364227,0.3124803578,-19.05683332,-32.50640133,37.68191433
8.121,-5.520274854,-5.508378785,23.52123119,0.1189606923,-19.21565607,-32.31551828,37.59718488
8.122,-5.520252508,-5.527673703,23.4890117,-0.07421194068,-19.37412075,-32.12320992,37.51349994
8.123,-5.520423162,-5.54712691,23.45698524,-0.2670374794,-19.53223698,-31.92947277,37.43088059
8.124,-5.520786468,-5.566738063,23.42515324,-0.459515957,-19.69001404,-31.73430313,37.34934809
8.125,-5.521342078,-5.586506828,23.39351712,-0.6516474971,-19.84746095,-31.53769709,37.2689239
8.126,-5.522089647,-5.606432878,23.36207832,-0.8434323103,-20.0045864,-31.33965057,37.18962965
8.127,-5.523028828,-5.626515897,23.3308383,-1.03487069,-20.16139879,-31.1401593,37.11148716
8.128,-5.524159273,-5.646755574,23.29979849,-1.225963009,-20.3179062,-30.9392188,37.03451846
8.129,-5.525480638,-5.66715161,23.26896034,-1.416709715,-20.47411641,-30.73682442,36.95874571
8.13,-5.526992578,-5.68770371,23.23832532,-1.607111328,-20.63003688,-30.53297134,36.88419129
8.131,-5.528694746,-5.708411589,23.20789489,-1.797168433,-20.78567476,-30.32765454,36.81087773
8.132,-5.5305868,-5.729274968,23.1776705,-1.986881681,-20.94103688,-30.12086884,36.73882774
8.133,-5.532668395,-5.750293573,23.14765364,-2.176251783,-21.09612976,-29.91260886,36.66806419
